name,value,year,lastValue,rank
CANADA,4569886,2017,380244,9
CANADA,309575,2017,22093,9
CANADA,585425,2017,36207,9
CANADA,39873,2017,62,9
CANADA,11188755,2017,799893,9
CANADA,765666,2017,33262,9
CANADA,144217,2017,9856,9
CANADA,473701,2017,35594,9
CANADA,18558186,2017,1002566,9
CANADA,687547,2017,46578,9
CANADA,536574,2017,32207,9
CANADA,446733,2017,33259,9
CANADA,273017,2017,1142,9
CANADA,2959054,2017,415046,9
CANADA,100403,2017,485,9
CANADA,109717,2017,3072,9
CANADA,83022,2017,553,9
CANADA,87890,2017,577,9
CANADA,36919,2017,1224,9
